STATE,DISTRICT_NAME,DIST11,AC_NO,TOWN_POP,ELECTORS,POPULATION,REGION_TYPE,DIFF_POP_ELEC,map_type,NEW_REGION_TYPE
West Bengal,South Twenty Four Parganas,343,134,0,"207,140.00","6,074,188",Rural,-0.23,post,Rural
West Bengal,South Twenty Four Parganas,343,135,0,"181,170.00","6,074,188",Rural,-0.23,post,Rural
West Bengal,South Twenty Four Parganas,343,136,"22,988.00","174,871.00","6,074,188",Rural,-0.23,post,Rural
West Bengal,South Twenty Four Parganas,343,137,"5,500.00","189,023.00","6,074,188",Rural,-0.23,post,Rural
West Bengal,South Twenty Four Parganas,343,138,0,"177,902.00","6,074,188",Rural,-0.23,post,Rural
West Bengal,South Twenty Four Parganas,343,139,0,"173,018.00","6,074,188",Rural,-0.23,post,Rural
West Bengal,South Twenty Four Parganas,343,140,"44,173.00","181,548.00","2,087,773",Urban,0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,141,0,"177,554.00","6,074,188",Rural,-0.23,post,Rural
West Bengal,South Twenty Four Parganas,343,142,"7,046.00","169,168.00","6,074,188",Rural,-0.23,post,Rural
West Bengal,South Twenty Four Parganas,343,143,"36,473.00","192,505.00","6,074,188",Rural,-0.23,post,Rural
West Bengal,South Twenty Four Parganas,343,144,"32,503.00","182,605.00","2,087,773",Urban,0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,145,0,"214,998.00","6,074,188",Rural,-0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,146,0,"210,599.00","2,087,773",Urban,0.23,post,Rural
West Bengal,South Twenty Four Parganas,343,147,0,"202,819.00","2,087,773",Urban,0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,148,0,"187,371.00","6,074,188",Rural,-0.23,post,Rural
West Bengal,South Twenty Four Parganas,343,149,0,"224,955.00","2,087,773",Urban,0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,150,0,"253,932.00","2,087,773",Urban,0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,151,"437,455.00","197,639.00","2,087,773",Urban,0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,152,0,"234,416.00","2,087,773",Urban,0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,153,0,"243,394.00","2,087,773",Urban,0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,154,0,"260,955.00","2,087,773",Urban,0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,155,"644,421.00","214,985.00","2,087,773",Urban,0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,156,"125,917.00","199,778.00","2,087,773",Urban,0.23,post,Urban
West Bengal,South Twenty Four Parganas,343,157,"7,000.00","182,250.00","2,087,773",Urban,0.23,post,Urban
West Bengal,Paschim Medinipur,344,219,0,"179,499.00","722,686",Urban,0.208,post,Rural
West Bengal,Paschim Medinipur,344,220,0,"175,005.00","5,190,771",Rural,-0.208,post,Rural
West Bengal,Paschim Medinipur,344,221,0,"177,748.00","5,190,771",Rural,-0.208,post,Rural
West Bengal,Paschim Medinipur,344,222,"51,931.00","184,398.00","5,190,771",Rural,-0.208,post,Rural
West Bengal,Paschim Medinipur,344,223,0,"182,643.00","5,190,771",Rural,-0.208,post,Rural
West Bengal,Paschim Medinipur,344,224,"202,769.00","195,162.00","722,686",Urban,0.208,post,Urban
West Bengal,Paschim Medinipur,344,225,0,"191,752.00","5,190,771",Rural,-0.208,post,Rural
West Bengal,Paschim Medinipur,344,226,0,"206,439.00","5,190,771",Rural,-0.208,post,Rural
West Bengal,Paschim Medinipur,344,227,0,"194,839.00","722,686",Urban,0.208,post,Rural
West Bengal,Paschim Medinipur,344,228,0,"166,917.00","5,190,771",Rural,-0.208,post,Urban
West Bengal,Paschim Medinipur,344,229,"12,001.00","184,265.00","722,686",Urban,0.208,post,Rural
West Bengal,Paschim Medinipur,344,230,0,"242,517.00","722,686",Urban,0.208,post,Rural
West Bengal,Paschim Medinipur,344,231,"50,745.00","224,907.00","722,686",Urban,0.208,post,Urban
West Bengal,Paschim Medinipur,344,232,"48,553.00","216,439.00","5,190,771",Rural,-0.208,post,Rural
West Bengal,Paschim Medinipur,344,233,"33,992.00","176,796.00","5,190,771",Rural,-0.208,post,Rural
West Bengal,Paschim Medinipur,344,234,0,"208,500.00","5,190,771",Rural,-0.208,post,Rural
West Bengal,Paschim Medinipur,344,235,"14,291.00","194,486.00","5,190,771",Rural,-0.208,post,Rural
West Bengal,Paschim Medinipur,344,236,"150,306.00","215,287.00","5,190,771",Rural,-0.208,post,Rural
West Bengal,Paschim Medinipur,344,237,0,"179,861.00","5,190,771",Rural,-0.208,post,Rural
